Customer,Recency,Frequency,Monetory,Cluster
12346.0,1.624870008147458,-2.5717809495678168,3.144114328737301,0
12347.0,-1.8416357070341258,1.1661776844703986,1.3760489313248596,1
12348.0,0.2912101844086802,-0.21898304819841463,0.749773969053962,0
12349.0,-0.6793540288665394,0.43552082896951166,0.7331747495145539,1
12350.0,1.573275033375067,-0.6611725688027296,-0.5915441500320182,2
12352.0,-0.25661158150375557,0.5548721626177301,0.993244041547913,1
12353.0,1.16147533514481,-1.6716885360856797,-1.7889645718227467,2
12354.0,1.2848417369587346,0.2569027699135651,0.3629306437068485,0
12355.0,1.2070523252007104,-0.854251586966086,-0.32351933774885583,2
12356.0,-0.557907713401992,0.270104761340271,1.0758865585758373,1
12357.0,-0.3169965499369472,0.899230197337154,1.6239858499231743,1
12358.0,-1.8416357070341258,-0.5803346236191728,0.4239140638936894,0
12359.0,0.09127148080216133,1.4215442934013907,1.6415123092736639,1
12360.0,0.009026657339537277,0.8868500566398623,1.0367502494006013,1
12361.0,1.4951187870879303,-1.0405237060783243,-1.0871634271632196,2
12362.0,-1.664747308752586,1.4799379961673889,1.5079823974903697,1
12363.0,0.6063719658501794,-0.44039257029315865,-0.17177759773968002,0
12364.0,-1.1809564300423083,0.5548721626177301,0.5135962521789119,1
12365.0,1.50907343039789,-0.4730750360049421,-0.04948834581780834,2
12367.0,-1.5313798982196243,-0.9731465164413443,-1.1927877056574412,0
12370.0,-0.005433840823432613,1.0959103676692081,1.2402422394499775,1
12371.0,-0.09746767281756995,0.32087331567261107,0.7862684562351822,0
12372.0,0.25885137363112753,0.1728419006807862,0.5047968803961252,0
12373.0,1.5765632747944132,-0.8011796546811442,-0.5178640942129551,2
12374.0,-0.5036144191974363,-0.17217574845444922,0.06879489455165393,0
12375.0,-1.00508918788088,-0.6611725688027296,-0.32697118075705583,0
12377.0,1.5896297012235336,0.4772492718286302,0.6760785412489527,0
12378.0,0.7506210682428484,1.3184232612609357,1.3258757840034017,1
12379.0,0.3627550519151389,-0.027203933006182707,0.17795056888955058,0
12380.0,-0.5865288295048726,0.7145273346886317,1.0534742506523942,1
12381.0,-1.4231902410084392,0.5731930508302593,0.7693537481322845,1
12383.0,1.0695492281666978,0.6753815101572437,0.7714586103646901,0
